,min,max,average,median,standard_deviation
CREATE,461976,461988,461986.632,461988.0,3.81755464229318
RFQ,109075,486375,127940.0,109075.0,84366.84479106707
BID,1306253,1337653,1306976.232,1306265.0,3549.6078783939774
ACCEPT,226168,293171,229668.35,226180.0,14959.938528142062
