,min,max,average,median,standard_deviation
CREATE,1576112,1576124,1576122.632,1576124.0,3.81755464229318
RFQ,327712,1600512,391352.0,327712.0,284606.73217617325
BID,13886586,13917986,13887309.232,13886598.0,3549.607878393977
ACCEPT,226168,293171,229667.75,226180.0,14960.086039279038
