,min,max,average,median,standard_deviation
CREATE,184,270,217.014,217.0,10.835895776286748
RFQ,213,324,243.3,238.5,23.012811077402308
BID,8173,11426,10286.07,10394.0,516.4478966555289
ACCEPT,269,1585,1317.65,1434.5,367.00957609763867
