,min,max,average,median,standard_deviation
CREATE,1205194,1205206,1205204.632,1205206.0,3.81755464229318
RFQ,255293,1229593,304008.0,255293.0,217860.1030478045
BID,7936747,7968147,7937470.232,7936759.0,3549.6078783939915
ACCEPT,226156,293171,229666.55,226180.0,14960.381487800587
