,min,max,average,median,standard_deviation
CREATE,833599,833611,833610.82,833611.0,1.4587753785695818
RFQ,182210,858010,185589.0,182210.0,47786.27627258688
BID,3828784,3860184,3829482.68,3828796.0,3371.2817986329565
ACCEPT,226168,293183,226539.935,226192.0,4740.161916617801
