,validated,accepted,committed,avg_val,avg_accep,avg_comm
287,3,9,94,,,
288,4,10,108,,,
289,3,8,85,,,
290,4,10,110,,,
291,4,10,67,,,
292,3,8,67,,,
293,3,9,68,,,
294,3,9,67,,,
295,3,9,87,,,
296,3,8,93,,,
297,3,9,67,,,
298,3,8,121,,,
299,3,9,97,,,
300,3,9,65,,,
301,3,9,67,,,
302,3,9,89,,,
303,3,9,63,,,
304,3,8,112,,,
305,3,9,68,,,
306,4,9,102,,,
307,4,9,68,,,
308,3,9,83,,,
309,3,8,95,,,
310,3,9,85,,,
311,3,9,97,,,
312,3,9,67,,,
313,3,8,65,,,
314,4,9,109,,,
315,3,8,67,,,
316,3,9,96,,,
317,3,9,64,,,
318,3,8,65,,,
319,3,9,95,,,
320,3,9,110,,,
321,3,9,95,,,
322,3,8,65,,,
323,3,8,119,,,
324,4,9,69,,,
325,3,9,64,,,
326,4,10,66,,,
327,3,8,67,,,
328,3,9,64,,,
329,4,9,66,,,
330,3,8,68,,,
331,3,9,103,,,
332,4,9,89,,,
333,3,9,64,,,
334,3,9,104,,,
335,3,8,65,,,
336,4,10,65,,,
337,3,8,64,,,
338,3,9,89,,,
339,3,9,119,,,
340,3,10,66,,,
341,4,9,67,,,
342,3,9,66,,,
343,4,9,91,,,
344,4,10,66,,,
345,3,9,74,,,
346,4,9,65,,,
347,4,9,66,,,
348,3,9,98,,,
349,3,9,102,,,
350,3,9,108,,,
351,3,9,65,,,
352,3,9,66,,,
353,3,9,120,,,
354,3,9,67,,,
355,4,10,95,,,
356,3,8,86,,,
357,4,9,89,,,
358,3,9,66,,,
359,3,9,70,,,
360,3,9,77,,,
361,3,8,88,,,
362,3,9,65,,,
363,3,8,66,,,
364,3,9,65,,,
365,4,9,64,,,
366,3,9,108,,,
367,4,9,67,,,
368,3,9,69,,,
369,3,9,65,,,
370,3,9,64,,,
371,3,9,107,,,
372,4,9,101,,,
373,3,8,65,,,
374,4,10,66,,,
375,4,9,65,,,
376,3,9,102,,,
377,3,9,66,,,
378,3,8,64,,,
379,4,9,65,,,
380,3,9,66,,,
381,4,9,83,,,
382,3,9,106,,,
383,4,10,65,,,
384,3,8,64,,,
385,3,9,73,,,
386,3,8,67,,,
387,3,9,64,,,
388,3,9,113,,,
389,3,9,66,,,
390,3,9,68,,,
391,4,9,89,,,
392,3,9,68,,,
393,3,8,67,,,
394,4,10,67,,,
395,3,9,67,,,
396,3,8,66,,,
397,3,8,86,,,
398,3,9,96,,,
399,3,9,102,,,
400,3,9,108,,,
401,4,9,95,,,
402,3,9,96,,,
403,3,8,67,,,
404,3,9,65,,,
405,3,8,64,,,
406,3,9,88,,,
407,3,10,64,,,
408,3,8,94,,,
409,3,9,68,,,
410,3,9,68,,,
411,3,9,93,,,
412,3,8,102,,,
413,3,9,88,,,
414,3,9,86,,,
415,3,8,67,,,
416,3,8,65,,,
417,3,9,67,,,
418,3,9,88,,,
419,4,9,65,,,
420,4,9,68,,,
421,3,9,66,,,
422,3,9,107,,,
423,3,9,67,,,
424,3,9,68,,,
425,3,9,97,,,
426,4,9,88,,,
427,4,10,69,,,
428,3,9,88,,,
429,3,9,66,,,
430,3,9,66,,,
431,3,8,109,,,
432,3,9,117,,,
433,3,9,64,,,
434,3,9,68,,,
435,3,9,67,,,
436,3,9,96,,,
437,3,9,66,,,
438,3,9,105,,,
439,3,9,65,,,
440,3,8,93,,,
441,3,9,109,,,
442,4,9,90,,,
443,3,9,67,,,
444,3,11,88,,,
445,3,8,97,,,
446,3,8,76,,,
447,3,9,81,,,
448,3,9,92,,,
449,4,9,89,,,
450,3,9,71,,,
451,3,9,66,,,
452,3,9,65,,,
453,4,9,104,,,
454,4,9,85,,,
455,4,9,105,,,
456,3,9,83,,,
457,4,9,65,,,
458,4,9,96,,,
459,3,9,68,,,
460,3,9,90,,,
461,4,9,98,,,
462,3,9,89,,,
463,4,9,69,,,
464,4,9,66,,,
465,4,10,67,,,
466,3,9,66,,,
467,3,8,68,,,
468,4,9,65,,,
469,3,8,102,,,
470,4,10,105,,,
471,3,9,66,,,
472,3,9,90,,,
473,4,10,101,,,
474,3,9,68,,,
475,3,9,106,,,
476,3,9,109,,,
477,3,10,92,,,
478,4,10,68,,,
479,3,9,68,,,
480,4,9,66,,,
481,3,11,102,,,
482,3,9,94,,,
483,3,9,95,,,
484,4,9,66,,,
485,3,8,114,,,
486,3,9,88,,,
487,3,8,98,,,
488,3,8,109,,,
489,3,9,67,,,
490,3,9,69,,,
491,3,8,66,,,
492,4,9,67,,,
493,4,9,68,,,
494,3,9,90,,,
495,3,10,67,,,
496,3,9,66,,,
497,3,9,91,,,
498,3,9,93,,,
499,4,9,99,,,
500,3,9,79,,,
501,4,9,99,,,
502,3,8,98,,,
503,3,9,114,,,
504,3,9,67,,,
505,4,10,68,,,
506,4,10,66,,,
507,3,9,90,,,
508,3,9,66,,,
509,3,9,66,,,
510,3,9,112,,,
511,3,9,64,,,
512,3,9,65,,,
513,3,8,65,,,
514,4,9,98,,,
515,3,9,68,,,
516,3,9,67,,,
517,3,8,105,,,
518,3,8,89,,,
519,3,9,109,,,
520,4,9,102,,,
