,validated,accepted,committed, ,avg_accep,avg_comm
1228,11,22,82,,,
1229,10,21,82,,,
1230,10,22,119,,,
1231,10,22,85,,,
1232,11,23,115,,,
1233,11,23,112,,,
1234,11,24,87,,,
1235,9,21,82,,,
1236,11,23,83,,,
1237,10,22,84,,,
1238,10,547,652,,,
1239,10,22,84,,,
1240,10,22,121,,,
1241,9,21,222,,,
1242,9,22,113,,,
1243,10,23,84,,,
1244,10,22,83,,,
1245,11,23,83,,,
1246,10,21,84,,,
1247,11,23,123,,,
1248,11,24,125,,,
1249,10,20,82,,,
1250,10,23,83,,,
1251,10,23,89,,,
1252,11,25,88,,,
1253,11,23,85,,,
1254,11,22,113,,,
1255,10,22,124,,,
1256,11,23,84,,,
1257,11,23,128,,,
1258,11,22,109,,,
1259,10,22,108,,,
1260,11,24,108,,,
1261,9,21,104,,,
1262,10,22,121,,,
1263,10,22,84,,,
1264,10,22,108,,,
1265,11,23,85,,,
1266,10,22,84,,,
1267,12,23,83,,,
1268,9,22,83,,,
1269,10,22,85,,,
1270,10,22,84,,,
1271,11,24,86,,,
1272,10,22,86,,,
1273,11,23,86,,,
1274,12,24,113,,,
1275,11,24,84,,,
1276,10,22,122,,,
1277,11,22,101,,,
1278,10,22,81,,,
1279,10,22,83,,,
1280,9,21,225,,,
1281,11,23,127,,,
1282,10,22,84,,,
1283,11,24,88,,,
1284,10,22,81,,,
1285,10,21,118,,,
1286,11,23,653,,,
1287,9,22,123,,,
1288,10,22,106,,,
1289,10,499,616,,,
1290,9,23,85,,,
1291,10,23,84,,,
1292,10,22,82,,,
1293,11,23,99,,,
1294,10,22,111,,,
1295,9,21,83,,,
1296,11,23,84,,,
1297,10,22,83,,,
1298,11,23,84,,,
1299,10,22,83,,,
1300,9,22,85,,,
1301,11,24,89,,,
1302,10,22,84,,,
1303,10,22,108,,,
1304,9,20,82,,,
1305,11,24,85,,,
1306,13,26,118,,,
1307,11,23,109,,,
1308,11,23,87,,,
1309,10,22,85,,,
1310,11,22,84,,,
1311,9,21,84,,,
1312,11,24,85,,,
1313,11,22,115,,,
1314,10,21,117,,,
1315,10,23,85,,,
1316,11,23,84,,,
1317,10,22,86,,,
1318,11,23,84,,,
1319,10,22,83,,,
1320,10,22,99,,,
1321,11,23,84,,,
1322,10,22,83,,,
1323,10,22,119,,,
1324,12,23,84,,,
1325,11,22,84,,,
1326,11,23,118,,,
1327,9,472,574,,,
1328,10,1537,1642,,,
1329,11,23,83,,,
1330,10,22,82,,,
1331,10,23,85,,,
1332,9,21,84,,,
1333,12,22,85,,,
1334,10,21,109,,,
1335,9,21,82,,,
1336,9,21,110,,,
1337,11,22,110,,,
1338,11,24,344,,,
1339,11,24,114,,,
1340,11,23,84,,,
1341,11,22,85,,,
1342,10,22,108,,,
1343,11,24,86,,,
1344,10,22,108,,,
1345,12,25,89,,,
1346,11,22,104,,,
1347,10,23,87,,,
1348,10,21,78,,,
1349,11,23,120,,,
1350,11,22,83,,,
1351,10,21,81,,,
1352,11,23,85,,,
1353,12,25,675,,,
1354,11,23,86,,,
1355,10,22,83,,,
1356,10,22,123,,,
1357,10,21,105,,,
1358,11,23,84,,,
1359,11,23,86,,,
1360,10,21,83,,,
1361,10,21,82,,,
1362,11,23,106,,,
1363,11,23,84,,,
1364,10,25,115,,,
1365,11,23,85,,,
1366,11,22,109,,,
1367,10,24,85,,,
1368,10,22,82,,,
1369,11,26,89,,,
1370,10,22,85,,,
1371,10,22,110,,,
1372,10,22,86,,,
1373,9,21,84,,,
1374,9,20,80,,,
1375,10,22,83,,,
1376,11,23,96,,,
1377,11,24,85,,,
1378,11,23,117,,,
1379,11,24,85,,,
1380,11,22,83,,,
1381,11,23,85,,,
1382,11,22,107,,,
1383,11,23,117,,,
1384,11,22,84,,,
1385,10,22,84,,,
1386,11,23,102,,,
1387,11,23,111,,,
1388,11,23,110,,,
1389,11,1755,1863,,,
1390,10,22,85,,,
1391,11,23,94,,,
1392,10,1364,2487,,,
1393,13,698,1141,,,
1394,12,24,86,,,
1395,11,22,99,,,
1396,10,22,85,,,
1397,10,21,82,,,
1398,11,23,85,,,
1399,10,21,81,,,
1400,11,24,85,,,
1401,9,22,133,,,
1402,11,22,83,,,
1403,11,23,86,,,
1404,11,24,85,,,
1405,9,21,82,,,
1406,10,22,83,,,
1407,10,22,84,,,
1408,9,21,111,,,
1409,12,24,84,,,
1410,10,22,86,,,
1411,11,22,117,,,
1412,11,23,121,,,
1413,9,21,83,,,
1414,11,23,83,,,
1415,11,23,85,,,
1416,10,22,114,,,
1417,10,22,84,,,
1418,12,1262,1370,,,
1419,10,22,103,,,
1420,9,21,117,,,
1421,11,23,84,,,
1422,11,23,120,,,
1423,12,25,113,,,
1424,11,22,82,,,
1425,10,23,113,,,
1426,11,22,82,,,
1427,10,22,84,,,
1428,11,23,87,,,
1429,10,22,95,,,
1430,10,23,85,,,
1431,10,22,81,,,
1432,10,22,88,,,
1433,13,25,86,,,
1434,11,22,127,,,
1435,10,24,85,,,
1436,11,23,93,,,
1437,11,22,84,,,
1438,9,21,110,,,
1439,11,23,87,,,
1440,9,21,84,,,
1441,11,22,84,,,
1442,10,22,126,,,
1443,10,22,82,,,
1444,11,23,84,,,
1445,11,23,86,,,
1446,11,23,126,,,
1447,11,23,83,,,
1448,10,22,118,,,
1449,10,21,81,,,
1450,11,23,101,,,
1451,11,23,86,,,
1452,11,22,127,,,
1453,11,23,126,,,
1454,10,23,657,,,
1455,12,24,87,,,
1456,11,22,85,,,
1457,11,23,84,,,
1458,10,22,116,,,
1459,11,531,635,,,
1460,10,21,105,,,
1461,11,22,85,,,
1462,10,22,81,,,
1463,9,21,102,,,
1464,11,2442,3729,,,
1465,10,22,85,,,
1466,11,23,88,,,
1467,10,22,125,,,
1468,10,24,87,,,
1469,11,23,85,,,
1470,10,22,118,,,
1471,9,21,84,,,
1472,11,22,82,,,
1473,9,22,686,,,
1474,11,23,83,,,
1475,10,21,96,,,
1476,11,23,89,,,
1477,11,22,106,,,
1478,10,22,85,,,
1479,9,21,82,,,
1480,11,1260,2409,,,
1481,8,20,81,,,
1482,10,23,110,,,
1483,12,23,125,,,
1484,11,23,83,,,
1485,10,22,82,,,
1486,10,22,83,,,
1487,9,21,83,,,
1488,11,23,83,,,
1489,11,23,84,,,
1490,9,460,728,,,
1491,9,21,83,,,
1492,11,23,548,,,
1493,12,25,110,,,
1494,10,2160,2276,,,
1495,12,24,83,,,
1496,12,24,83,,,
1497,9,21,109,,,
1498,10,22,83,,,
1499,11,22,84,,,
1500,11,23,86,,,
1501,12,25,85,,,
1502,12,24,107,,,
1503,11,23,85,,,
1504,11,23,83,,,
1505,10,23,84,,,
1506,10,22,131,,,
1507,11,24,78,,,
1508,10,22,554,,,
1509,11,23,83,,,
1510,10,22,82,,,
1511,12,24,111,,,
1512,9,20,81,,,
1513,9,21,81,,,
1514,10,22,84,,,
1515,10,21,121,,,
1516,9,22,85,,,
1517,11,23,83,,,
1518,9,20,83,,,
1519,10,22,111,,,
1520,9,21,137,,,
1521,10,21,82,,,
1522,10,920,1815,,,
1523,11,23,121,,,
1524,10,23,85,,,
1525,11,22,112,,,
1526,10,23,83,,,
1527,10,22,84,,,
1528,11,23,86,,,
1529,10,22,82,,,
1530,11,24,97,,,
1531,10,21,121,,,
1532,10,22,86,,,
1533,12,24,86,,,
1534,11,22,127,,,
1535,11,23,122,,,
1536,11,22,117,,,
1537,11,23,82,,,
1538,10,23,112,,,
1539,10,23,117,,,
1540,9,21,83,,,
1541,10,262,370,,,
1542,11,23,82,,,
1543,10,21,82,,,
1544,11,24,113,,,
1545,11,24,108,,,
1546,12,26,119,,,
1547,14,1812,1921,,,
1548,11,22,106,,,
1549,10,22,82,,,
1550,11,23,106,,,
1551,10,21,83,,,
1552,10,22,81,,,
1553,12,25,87,,,
1554,10,23,84,,,
1555,11,22,83,,,
1556,10,22,86,,,
1557,11,22,84,,,
1558,10,23,86,,,
1559,11,23,83,,,
1560,10,22,83,,,
1561,10,21,81,,,
1562,9,21,133,,,
1563,9,21,81,,,
1564,11,22,82,,,
1565,11,22,115,,,
1566,10,21,82,,,
1567,11,23,83,,,
1568,11,22,83,,,
1569,11,23,114,,,
1570,9,21,109,,,
1571,11,23,87,,,
1572,10,22,104,,,
1573,10,22,83,,,
1574,11,24,91,,,
1575,10,22,98,,,
1576,12,24,84,,,
1577,11,23,84,,,
1578,10,22,80,,,
1579,10,22,89,,,
1580,10,24,87,,,
1581,10,23,109,,,
1582,9,22,122,,,
1583,10,22,118,,,
1584,10,22,84,,,
1585,11,23,86,,,
1586,11,25,87,,,
1587,11,23,104,,,
1588,11,23,99,,,
1589,9,21,109,,,
1590,10,22,83,,,
1591,11,23,84,,,
1592,11,22,116,,,
1593,14,531,639,,,
1594,9,22,110,,,
1595,11,24,85,,,
1596,11,23,84,,,
1597,11,24,87,,,
1598,11,24,84,,,
1599,9,21,82,,,
1600,9,22,86,,,
1601,10,21,120,,,
1602,11,24,115,,,
1603,11,22,85,,,
1604,11,2091,3742,,,
1605,10,23,84,,,
1606,11,23,84,,,
1607,11,23,84,,,
1608,11,23,87,,,
1609,11,23,109,,,
1610,10,21,103,,,
1611,11,24,123,,,
1612,9,21,81,,,
1613,11,23,83,,,
1614,10,22,83,,,
1615,11,23,85,,,
1616,10,22,80,,,
1617,12,23,84,,,
1618,10,22,84,,,
1619,10,22,82,,,
1620,11,23,85,,,
1621,11,1702,1810,,,
1622,9,21,83,,,
1623,11,22,81,,,
1624,10,22,84,,,
1625,10,21,82,,,
1626,9,20,82,,,
1627,11,23,85,,,
1628,11,2208,3649,,,
1629,12,25,90,,,
1630,10,22,109,,,
1631,10,22,82,,,
1632,11,24,124,,,
1633,10,22,85,,,
1634,9,21,133,,,
1635,10,21,83,,,
1636,10,22,88,,,
1637,10,22,82,,,
1638,11,23,162,,,
1639,10,21,82,,,
1640,11,23,83,,,
1641,11,23,83,,,
1642,10,22,123,,,
1643,9,21,81,,,
1644,11,24,116,,,
1645,11,22,110,,,
1646,11,23,108,,,
1647,10,1776,1884,,,
1648,10,21,84,,,
1649,10,22,106,,,
1650,11,22,82,,,
1651,10,23,83,,,
1652,11,23,83,,,
1653,11,22,86,,,
1654,10,22,104,,,
1655,10,22,84,,,
1656,9,21,82,,,
1657,11,22,83,,,
1658,11,24,114,,,
1659,10,2310,2426,,,
1660,12,24,83,,,
1661,11,23,113,,,
1662,10,22,137,,,
1663,11,1168,2482,,,
1664,10,1145,2046,,,
1665,13,25,87,,,
1666,11,23,84,,,
1667,11,25,114,,,
1668,12,24,85,,,
1669,11,24,85,,,
1670,11,25,112,,,
1671,10,22,83,,,
1672,11,22,82,,,
1673,10,22,99,,,
1674,16,1511,1615,,,
1675,12,24,122,,,
1676,10,22,104,,,
1677,11,22,84,,,
1678,11,23,85,,,
1679,9,21,82,,,
1680,11,24,86,,,
1681,10,22,118,,,
1682,10,21,83,,,
1683,10,21,112,,,
1684,10,23,87,,,
1685,10,22,84,,,
1686,10,22,83,,,
1687,10,22,106,,,
1688,10,21,83,,,
1689,10,23,87,,,
1690,10,23,84,,,
1691,10,22,83,,,
1692,10,23,86,,,
1693,12,25,118,,,
1694,10,21,107,,,
1695,10,22,103,,,
1696,11,22,122,,,
1697,11,23,85,,,
1698,9,21,81,,,
1699,11,22,81,,,
1700,11,22,83,,,
1701,11,23,85,,,
1702,10,22,109,,,
1703,11,23,82,,,
1704,11,24,86,,,
1705,9,22,84,,,
1706,11,24,87,,,
1707,11,22,83,,,
1708,12,24,115,,,
1709,12,24,85,,,
1710,10,22,83,,,
1711,11,24,107,,,
1712,10,22,82,,,
1713,12,25,110,,,
1714,11,23,84,,,
1715,11,24,86,,,
1716,11,23,84,,,
1717,9,21,111,,,
1718,10,21,81,,,
1719,11,22,120,,,
1720,11,22,82,,,
1721,10,152,257,,,
1722,11,23,119,,,
1723,11,24,86,,,
1724,9,21,113,,,
1725,11,23,84,,,
1726,11,24,86,,,
1727,11,23,121,,,
1728,11,1626,1734,,,
1729,11,23,86,,,
1730,10,22,84,,,
1731,10,22,103,,,
1732,11,25,89,,,
1733,15,870,978,,,
1734,11,24,106,,,
1735,11,1465,2774,,,
1736,10,23,83,,,
1737,10,22,122,,,
1738,10,22,124,,,
1739,11,23,86,,,
1740,10,21,110,,,
1741,10,22,83,,,
1742,9,21,84,,,
1743,9,22,84,,,
1744,10,21,82,,,
1745,11,24,85,,,
1746,11,24,99,,,
1747,11,23,84,,,
1748,11,24,120,,,
1749,10,24,87,,,
1750,10,23,84,,,
1751,9,21,81,,,
1752,10,23,83,,,
1753,10,21,110,,,
1754,12,24,604,,,
1755,10,24,109,,,
1756,9,20,80,,,
1757,10,21,82,,,
1758,10,22,84,,,
1759,9,21,113,,,
1760,11,22,84,,,
1761,9,21,108,,,
1762,9,21,113,,,
1763,11,23,85,,,
1764,10,22,85,,,
1765,11,22,119,,,
1766,11,227,331,,,
1767,9,21,103,,,
1768,11,24,96,,,
1769,11,22,120,,,
1770,11,24,88,,,
1771,10,24,114,,,
1772,10,22,83,,,
1773,12,24,84,,,
1774,11,23,107,,,
1775,10,22,83,,,
1776,11,23,105,,,
1777,11,23,83,,,
1778,11,24,88,,,
1779,10,23,108,,,
1780,10,22,80,,,
1781,11,24,105,,,
1782,10,24,106,,,
1783,12,24,84,,,
1784,11,23,86,,,
1785,11,23,84,,,
1786,10,22,85,,,
1787,10,22,85,,,
1788,10,22,109,,,
1789,10,21,82,,,
1790,10,22,117,,,
1791,10,21,121,,,
1792,10,22,84,,,
1793,10,22,84,,,
1794,11,24,85,,,
1795,10,22,108,,,
1796,11,23,78,,,
1797,10,22,85,,,
1798,11,22,105,,,
1799,10,21,83,,,
1800,8,20,82,,,
1801,11,23,107,,,
1802,11,23,126,,,
1803,10,23,83,,,
1804,10,22,85,,,
1805,10,22,117,,,
1806,11,23,113,,,
1807,10,22,82,,,
1808,11,490,599,,,
1809,10,23,87,,,
1810,9,21,82,,,
1811,9,20,80,,,
1812,10,21,83,,,
1813,10,22,84,,,
1814,11,23,84,,,
1815,10,2153,3709,,,
1816,10,22,84,,,
1817,12,24,84,,,
1818,11,23,85,,,
1819,10,22,84,,,
1820,11,22,109,,,
1821,11,24,173,,,
1822,11,22,83,,,
1823,11,24,85,,,
1824,11,22,82,,,
1825,10,22,126,,,
1826,11,23,122,,,
1827,11,22,83,,,
1828,9,20,81,,,
1829,10,23,85,,,
1830,10,22,103,,,
1831,9,23,85,,,
1832,11,87,190,,,
1833,11,23,88,,,
1834,10,21,84,,,
1835,11,23,85,,,
1836,11,23,83,,,
1837,11,23,121,,,
1838,9,21,82,,,
1839,11,23,84,,,
1840,10,22,113,,,
1841,11,22,127,,,
1842,10,22,83,,,
1843,13,284,387,,,
1844,10,22,118,,,
1845,10,22,87,,,
1846,11,26,89,,,
1847,12,1872,3255,,,
1848,9,20,118,,,
1849,11,23,84,,,
1850,11,23,83,,,
1851,11,23,85,,,
1852,10,22,82,,,
1853,12,1339,2283,,,
1854,11,24,86,,,
1855,12,24,84,,,
1856,11,22,85,,,
1857,9,1939,2046,,,
1858,10,22,118,,,
1859,10,22,83,,,
1860,11,23,84,,,
1861,11,22,108,,,
1862,10,22,82,,,
1863,10,22,106,,,
1864,11,22,85,,,
1865,11,24,85,,,
1866,11,22,109,,,
1867,9,21,82,,,
1868,10,22,106,,,
1869,11,23,111,,,
1870,11,23,84,,,
1871,10,23,85,,,
1872,11,23,112,,,
1873,9,21,111,,,
1874,11,22,85,,,
1875,11,24,88,,,
1876,10,23,124,,,
1877,11,23,83,,,
1878,13,26,117,,,
1879,10,21,84,,,
1880,11,22,84,,,
1881,10,22,84,,,
1882,10,21,81,,,
1883,10,22,83,,,
1884,10,973,1906,,,
1885,10,22,325,,,
1886,11,22,84,,,
1887,9,21,109,,,
1888,10,22,82,,,
1889,11,22,122,,,
1890,11,23,112,,,
1891,10,22,83,,,
1892,11,23,105,,,
1893,11,23,83,,,
1894,12,24,126,,,
1895,12,25,87,,,
1896,11,24,92,,,
1897,14,1444,1548,,,
1898,10,820,929,,,
1899,10,21,115,,,
1900,10,22,101,,,
1901,9,21,106,,,
1902,10,22,82,,,
1903,11,23,84,,,
1904,11,23,84,,,
1905,11,22,84,,,
1906,10,22,84,,,
1907,11,23,85,,,
1908,10,22,84,,,
1909,9,20,105,,,
1910,10,21,105,,,
1911,10,22,83,,,
1912,11,23,84,,,
1913,9,21,84,,,
1914,10,22,108,,,
1915,12,104,213,,,
1916,11,23,128,,,
1917,10,21,82,,,
1918,11,23,87,,,
1919,9,22,82,,,
1920,9,21,82,,,
1921,11,24,86,,,
1922,10,21,85,,,
1923,10,23,102,,,
1924,11,23,82,,,
1925,9,20,83,,,
1926,10,21,81,,,
1927,11,23,96,,,
1928,9,20,128,,,
1929,11,24,84,,,
1930,11,22,110,,,
1931,11,22,82,,,
1932,10,22,105,,,
1933,9,21,82,,,
1934,10,21,81,,,
1935,9,21,82,,,
1936,9,21,81,,,
1937,11,23,86,,,
1938,10,22,84,,,
1939,11,23,86,,,
1940,11,22,123,,,
1941,11,24,90,,,
1942,10,22,83,,,
1943,11,23,115,,,
1944,11,23,86,,,
1945,10,22,82,,,
1946,10,23,105,,,
1947,11,23,84,,,
1948,12,25,86,,,
1949,9,21,82,,,
1950,10,23,83,,,
1951,9,21,82,,,
1952,10,21,122,,,
1953,9,20,109,,,
1954,11,23,243,,,
1955,11,23,112,,,
1956,9,21,81,,,
1957,11,25,88,,,
1958,10,21,84,,,
1959,11,22,84,,,
1960,10,21,81,,,
1961,9,22,127,,,
1962,10,21,81,,,
1963,9,20,82,,,
1964,10,21,81,,,
1965,11,23,108,,,
1966,11,23,84,,,
1967,11,23,131,,,
1968,11,23,119,,,
1969,10,21,84,,,
1970,10,23,90,,,
1971,10,21,108,,,
1972,10,21,83,,,
1973,10,22,116,,,
1974,10,22,84,,,
1975,9,21,84,,,
1976,10,21,82,,,
1977,11,22,241,,,
1978,11,22,83,,,
1979,9,22,82,,,
1980,10,22,82,,,
1981,9,20,105,,,
1982,11,2484,2600,,,
1983,10,21,83,,,
1984,11,23,86,,,
1985,10,22,119,,,
1986,10,22,84,,,
1987,10,21,105,,,
1988,9,21,82,,,
1989,11,22,107,,,
1990,10,22,83,,,
1991,9,24,86,,,
1992,11,22,85,,,
1993,11,22,92,,,
1994,9,21,83,,,
1995,11,24,119,,,
1996,10,23,107,,,
1997,10,638,746,,,
1998,11,22,111,,,
1999,11,22,86,,,
2000,13,25,125,,,
2001,10,21,126,,,
2002,10,21,85,,,
2003,11,24,86,,,
2004,9,22,86,,,
2005,12,24,127,,,
2006,11,24,85,,,
2007,11,22,84,,,
2008,11,23,103,,,
2009,12,24,84,,,
2010,11,528,794,,,
2011,12,1360,2468,,,
2012,11,24,85,,,
2013,9,21,111,,,
2014,10,22,102,,,
2015,9,21,82,,,
2016,10,188,289,,,
2017,10,22,108,,,
2018,12,24,87,,,
2019,10,21,108,,,
2020,10,23,122,,,
2021,11,23,83,,,
2022,9,1334,2103,,,
2023,10,23,94,,,
2024,9,20,113,,,
2025,10,22,84,,,
2026,12,1893,3216,,,
2027,12,25,91,,,
2028,11,25,93,,,
2029,9,21,83,,,
2030,14,179,284,,,
2031,11,24,141,,,
2032,11,23,87,,,
2033,11,24,87,,,
2034,10,23,90,,,
2035,11,23,84,,,
2036,9,20,124,,,
2037,11,22,105,,,
2038,11,23,84,,,
2039,12,24,81,,,
2040,12,23,84,,,
2041,9,20,108,,,
2042,9,21,82,,,
2043,10,94,202,,,
2044,10,22,84,,,
2045,11,23,84,,,
2046,10,22,85,,,
2047,12,23,102,,,
2048,10,22,105,,,
2049,10,23,87,,,
2050,9,21,127,,,
2051,10,23,93,,,
2052,10,24,85,,,
2053,9,22,114,,,
2054,9,493,804,,,
2055,9,20,97,,,
2056,11,22,122,,,
2057,12,25,87,,,
2058,11,22,83,,,
2059,10,22,104,,,
2060,10,23,105,,,
2061,12,25,87,,,
2062,10,22,83,,,
2063,10,21,109,,,
2064,11,22,115,,,
2065,10,22,82,,,
2066,9,21,81,,,
2067,11,25,88,,,
2068,10,22,115,,,
2069,9,21,83,,,
2070,12,2493,2617,,,
2071,11,25,97,,,
2072,9,21,83,,,
2073,10,22,84,,,
2074,11,23,118,,,
2075,11,23,113,,,
2076,10,22,84,,,
2077,10,22,83,,,
2078,11,23,121,,,
2079,9,22,85,,,
2080,10,23,83,,,
2081,11,23,83,,,
2082,10,22,109,,,
2083,10,22,84,,,
2084,11,23,83,,,
2085,10,22,86,,,
2086,14,1532,2482,,,
2087,10,21,83,,,
2088,11,23,98,,,
2089,10,348,451,,,
2090,11,23,89,,,
2091,10,22,106,,,
2092,10,22,116,,,
2093,9,21,109,,,
2094,11,22,117,,,
2095,11,23,83,,,
2096,10,22,82,,,
2097,12,2446,4434,,,
2098,10,22,83,,,
2099,9,21,121,,,
2100,10,21,107,,,
2101,9,22,114,,,
2102,10,22,82,,,
2103,11,24,118,,,
2104,11,22,84,,,
2105,9,20,84,,,
2106,10,22,83,,,
2107,11,23,84,,,
2108,11,23,87,,,
2109,10,22,116,,,
2110,9,21,85,,,
2111,11,23,110,,,
2112,10,21,107,,,
2113,11,23,123,,,
2114,11,23,87,,,
2115,10,22,103,,,
2116,10,23,83,,,
2117,11,24,86,,,
2118,11,22,123,,,
2119,10,21,84,,,
2120,10,22,82,,,
2121,10,23,84,,,
2122,10,24,89,,,
2123,9,21,83,,,
2124,10,22,83,,,
2125,10,22,83,,,
2126,11,23,84,,,
2127,12,24,85,,,
2128,10,22,116,,,
2129,9,20,111,,,
2130,10,22,112,,,
2131,11,23,106,,,
2132,11,23,105,,,
2133,10,21,81,,,
2134,9,21,81,,,
2135,11,23,85,,,
2136,11,24,87,,,
2137,10,22,111,,,
2138,11,22,107,,,
2139,9,347,451,,,
2140,11,22,110,,,
2141,10,22,82,,,
2142,10,22,83,,,
2143,10,22,83,,,
2144,9,20,116,,,
2145,12,24,87,,,
2146,10,22,81,,,
2147,10,23,83,,,
2148,11,23,84,,,
2149,11,23,87,,,
2150,11,1156,2441,,,
2151,11,24,83,,,
2152,10,22,102,,,
2153,10,22,104,,,
2154,10,21,81,,,
2155,10,21,82,,,
2156,11,22,108,,,
2157,11,23,85,,,
2158,9,21,102,,,
2159,11,23,83,,,
2160,9,21,98,,,
2161,11,23,85,,,
2162,10,23,85,,,
2163,11,22,83,,,
2164,10,22,82,,,
2165,10,22,84,,,
2166,10,22,82,,,
2167,11,23,132,,,
2168,10,22,82,,,
2169,11,25,115,,,
2170,11,22,85,,,
2171,9,20,109,,,
2172,10,22,105,,,
2173,11,22,111,,,
2174,10,21,84,,,
2175,13,26,87,,,
2176,10,22,85,,,
2177,11,23,127,,,
2178,10,22,115,,,
2179,10,22,96,,,
2180,11,23,82,,,
2181,10,22,84,,,
2182,10,23,124,,,
2183,11,22,82,,,
2184,10,22,83,,,
2185,11,23,85,,,
2186,10,22,85,,,
2187,9,21,102,,,
2188,12,24,575,,,
2189,11,23,84,,,
2190,11,22,84,,,
2191,11,22,104,,,
2192,10,22,81,,,
2193,12,24,89,,,
2194,10,22,105,,,
2195,11,22,82,,,
2196,9,21,82,,,
2197,11,24,113,,,
2198,9,21,106,,,
2199,10,21,112,,,
2200,11,23,99,,,
2201,11,24,125,,,
2202,10,22,84,,,
2203,12,26,95,,,
2204,11,187,296,,,
2205,10,22,83,,,
2206,10,21,116,,,
2207,11,23,105,,,
2208,9,21,100,,,
2209,10,21,83,,,
2210,10,21,81,,,
2211,9,21,109,,,
2212,11,23,86,,,
2213,11,23,83,,,
2214,10,23,84,,,
2215,11,22,82,,,
2216,12,167,277,,,
2217,10,23,89,,,
2218,10,22,82,,,
2219,10,22,127,,,
2220,11,22,81,,,
2221,10,21,83,,,
2222,11,22,83,,,
2223,10,22,82,,,
2224,11,23,116,,,
2225,10,21,84,,,
2226,12,25,85,,,
2227,10,21,107,,,
2228,11,22,117,,,
2229,10,21,83,,,
2230,10,22,107,,,
2231,9,20,80,,,
2232,11,23,83,,,
2233,9,22,117,,,
2234,10,22,82,,,
2235,11,23,120,,,
2236,12,24,82,,,
2237,11,1299,2591,,,
2238,11,23,84,,,
2239,11,23,114,,,
2240,11,23,108,,,
2241,10,117,226,,,
2242,11,23,87,,,
2243,10,23,116,,,
2244,11,23,84,,,
2245,11,23,115,,,
2246,11,23,89,,,
2247,10,23,111,,,
2248,10,2256,2365,,,
2249,11,22,87,,,
2250,11,22,82,,,
2251,11,23,87,,,
2252,10,22,92,,,
2253,10,22,101,,,
2254,11,23,114,,,
2255,10,23,120,,,
2256,11,23,85,,,
2257,11,23,120,,,
2258,11,22,100,,,
2259,11,1686,2990,,,
2260,11,22,104,,,
2261,11,23,85,,,
2262,10,22,114,,,
2263,12,25,91,,,
2264,9,21,82,,,
2265,12,24,84,,,
2266,9,22,84,,,
2267,10,22,125,,,
2268,10,22,85,,,
2269,10,21,82,,,
2270,11,23,85,,,
2271,9,20,129,,,
2272,9,21,82,,,
2273,10,22,82,,,
2274,11,23,85,,,
2275,10,22,118,,,
2276,11,23,120,,,
2277,10,22,114,,,
2278,9,21,81,,,
2279,9,21,121,,,
2280,12,25,107,,,
2281,11,22,106,,,
2282,11,24,108,,,
2283,10,22,83,,,
2284,11,22,76,,,
2285,10,22,116,,,
2286,9,21,105,,,
2287,11,22,83,,,
2288,12,24,86,,,
2289,10,21,114,,,
2290,12,23,84,,,
2291,10,22,105,,,
2292,11,24,84,,,
2293,11,23,83,,,
2294,11,22,84,,,
2295,15,29,116,,,
2296,9,21,83,,,
2297,10,22,84,,,
2298,9,22,83,,,
2299,11,23,115,,,
2300,10,23,85,,,
2301,10,808,912,,,
2302,12,24,87,,,
2303,9,22,85,,,
2304,12,23,97,,,
2305,11,25,114,,,
2306,11,23,122,,,
2307,11,24,85,,,
2308,11,22,82,,,
2309,11,22,83,,,
2310,11,23,84,,,
2311,9,21,110,,,
2312,10,22,82,,,
2313,11,1824,1927,,,
2314,11,23,139,,,
2315,11,23,83,,,
2316,9,21,109,,,
2317,10,22,80,,,
2318,10,22,84,,,
2319,9,21,79,,,
2320,10,640,744,,,
2321,10,22,83,,,
2322,10,22,125,,,
2323,11,22,84,,,
2324,10,22,106,,,
2325,11,24,85,,,
2326,11,138,334,,,
2327,10,22,100,,,
2328,12,25,86,,,
2329,10,21,81,,,
2330,10,22,83,,,
2331,10,312,573,,,
2332,12,24,82,,,
2333,9,21,201,,,
2334,10,21,84,,,
2335,10,21,81,,,
2336,10,22,83,,,
2337,11,22,121,,,
2338,12,25,89,,,
2339,10,22,83,,,
2340,11,24,117,,,
2341,10,22,110,,,
2342,9,21,82,,,
2343,10,21,82,,,
2344,10,22,84,,,
2345,10,22,82,,,
2346,11,23,85,,,
2347,11,23,84,,,
2348,11,23,109,,,
2349,11,24,85,,,
2350,13,26,89,,,
2351,9,20,80,,,
2352,10,22,85,,,
2353,10,22,84,,,
2354,10,22,81,,,
2355,11,23,107,,,
2356,9,21,110,,,
2357,11,25,91,,,
2358,10,23,83,,,
2359,11,23,125,,,
2360,10,22,115,,,
2361,9,21,82,,,
2362,10,21,122,,,
2363,11,24,84,,,
2364,10,22,111,,,
2365,11,22,87,,,
2366,11,23,82,,,
2367,11,24,86,,,
2368,11,23,84,,,
2369,11,23,83,,,
2370,11,23,83,,,
2371,10,22,85,,,
2372,11,23,110,,,
2373,11,23,76,,,
2374,11,23,113,,,
2375,11,24,87,,,
2376,10,23,84,,,
2377,10,22,85,,,
2378,11,24,92,,,
2379,11,23,128,,,
2380,11,22,81,,,
2381,11,2081,3437,,,
2382,9,21,116,,,
2383,11,24,124,,,
2384,11,23,105,,,
2385,15,1515,2867,,,
