,validated,accepted,committed, ,avg_accep,avg_comm
285,10,22,97,,,
286,11,22,117,,,
287,11,638,742,,,
288,10,22,82,,,
289,9,21,83,,,
290,10,22,83,,,
291,11,559,971,,,
292,16,792,901,,,
293,11,23,188,,,
294,10,2182,2298,,,
295,11,23,86,,,
296,11,23,115,,,
297,10,24,85,,,
298,10,22,84,,,
299,10,1293,1400,,,
300,11,23,105,,,
301,10,22,84,,,
302,10,22,107,,,
303,12,24,88,,,
304,9,21,114,,,
305,10,21,108,,,
306,10,22,103,,,
307,10,92,197,,,
308,11,23,114,,,
309,11,187,290,,,
310,10,21,81,,,
311,11,24,85,,,
312,10,22,84,,,
313,11,23,85,,,
314,11,24,86,,,
315,10,22,84,,,
316,10,22,85,,,
317,11,23,85,,,
318,11,23,85,,,
319,11,23,84,,,
320,9,21,82,,,
321,10,21,115,,,
322,11,22,82,,,
323,11,22,81,,,
324,10,21,126,,,
325,10,22,85,,,
326,13,25,86,,,
327,10,22,82,,,
328,10,21,82,,,
329,10,21,109,,,
330,11,23,83,,,
331,9,21,84,,,
332,11,259,362,,,
333,11,23,116,,,
334,9,20,80,,,
335,12,23,115,,,
336,10,21,82,,,
337,10,21,81,,,
338,14,488,596,,,
339,11,22,82,,,
340,10,21,86,,,
341,10,22,84,,,
342,11,23,82,,,
343,10,22,82,,,
344,13,127,234,,,
345,10,21,81,,,
346,10,22,91,,,
347,10,21,80,,,
348,10,21,111,,,
349,10,21,104,,,
350,11,38,143,,,
351,11,23,86,,,
352,10,22,81,,,
353,11,24,85,,,
354,8,20,101,,,
355,10,22,106,,,
356,10,22,85,,,
357,10,24,132,,,
358,10,23,83,,,
359,10,22,91,,,
360,10,22,85,,,
361,9,21,84,,,
362,9,21,116,,,
363,11,23,533,,,
364,11,23,83,,,
365,10,22,111,,,
366,12,24,82,,,
367,9,21,84,,,
368,10,22,109,,,
369,9,21,117,,,
370,10,22,85,,,
371,11,23,83,,,
372,10,22,115,,,
373,12,23,83,,,
374,11,22,83,,,
375,12,24,86,,,
376,10,22,83,,,
377,10,22,115,,,
378,10,22,81,,,
379,10,1143,2081,,,
380,10,23,111,,,
381,12,24,121,,,
382,11,23,118,,,
383,10,21,83,,,
384,11,22,84,,,
385,11,23,83,,,
386,9,20,81,,,
387,9,20,103,,,
388,11,24,87,,,
389,11,23,83,,,
390,10,22,83,,,
391,9,21,81,,,
392,10,22,82,,,
393,10,21,108,,,
394,11,23,130,,,
395,12,25,86,,,
396,10,21,88,,,
397,10,22,81,,,
398,11,23,84,,,
399,11,23,83,,,
400,10,28,131,,,
401,12,23,84,,,
402,11,1233,1337,,,
403,11,253,357,,,
404,10,22,84,,,
405,10,22,84,,,
406,14,916,1020,,,
407,11,24,89,,,
408,9,20,95,,,
409,11,22,105,,,
410,12,25,86,,,
411,10,25,96,,,
412,11,22,84,,,
413,11,23,112,,,
414,10,21,83,,,
415,10,21,115,,,
416,9,20,104,,,
417,11,23,84,,,
418,11,22,129,,,
419,10,21,129,,,
420,10,21,111,,,
421,11,23,86,,,
422,14,456,564,,,
423,11,23,82,,,
424,11,22,87,,,
425,9,21,82,,,
426,11,22,83,,,
427,11,23,82,,,
428,10,22,116,,,
429,11,21,106,,,
430,11,27,98,,,
431,11,23,86,,,
432,11,23,139,,,
433,10,22,85,,,
434,9,21,106,,,
435,11,23,84,,,
436,10,21,81,,,
437,11,23,82,,,
438,11,23,97,,,
